Date,Campaign,AdWords Campaign ID,Sessions,Clicks,Cost,Impressions,Transactions,Revenue,Quantity,HotelName
20161103,DV Cotswold Water Park Brand [WW-UK] (S) ^KW *AD,685552281,2,2,1.03,33,0,0,0,De Vere Cotswold Water Park
20161103,DV Oxford Thames Brand [WW-UK] (S) ^KW *AD,685510703,2,3,2.22,87,0,0,0,De Vere Oxford Thames
20161103,Principal Manchester Brand [UK] (S) ^KW ^RLSA-B *AD,693220989,2,2,1.49,63,0,0,0,The Principal Manchester
20161103,Principal York [UK] (C) ^REM *NM,693220992,2,4,0.34,356,0,0,0,The Principal York
20161103,SDG Sedgebrook Brand [UK] (S) ^KW ^RLSA-B *AD,159636154,2,0,0,0,0,0,0,Sedgebrook Hall
20161104,CRG Cranage Hall Brand [UK] (S) ^KW ^RLSA-B *AD,160000234,2,0,0,0,0,0,0,De Vere Cranage Estate
20161104,DV Tortworth Estate General [UK] (S) ^KW *AD,685510694,2,2,3.62,227,0,0,0,De Vere Tortworth Estate
20161104,SLD Selsdon Park & Golf Brand [UK] (S) ^KW ^RLSA-B *AD,160014514,2,0,0,0,0,0,0,De Vere Selsdon Estate
20161104,zZz Brand De Vere [UK] (S) ^KW ^RLSA-B *AD,257113607,2,0,0,0,0,0,0,De Vere
20161104,zZz GRG The George Brand [UK] (S) ^KW ^RLSA-B *AD,160000474,2,0,0,0,0,0,0,The Principal Edinburgh George…
20161104,zZz PAL The Palace Brand [UK] (S) ^KW ^RLSA-B *AD,160000354,2,0,0,0,0,0,0,The Principal Manchester
20161104,zZz PHB Brand [WW-UK] (S) ^KW ^RLSA-B *AD,229148794,2,0,0,0,0,0,0,Principal
20161104,zZz STV DV Staverton Estate Brand [UK] (S) ^KW ^RLSA-B *AD,257115887,2,0,0,0,0,0,0,De Vere Staverton Estate
20161105,BMT Beaumont Estate Brand [UK] (S) ^KW ^RLSA-B *AD,160014634,2,0,0,0,0,0,0,De Vere Beaumont Estate
20161105,Principal Edinburgh [UK] (C) ^REM *NM,693220971,2,2,0.45,170,0,0,0,The Principal Edinburgh George…
20161105,zZz GCE Grand Central Brand [UK] (S) ^KW ^RLSA-B *AD,160000594,2,0,0,0,0,0,0,Grand Central Hotel
20161105,zZz GRG The George Brand [UK] (S) ^KW ^RLSA-B *AD,160000474,2,0,0,0,0,0,0,The Principal Edinburgh George…
20161105,"zZz Milton Hill, Abington Brand [UK] (S) ^KW ^RLSA-B *AD",257115407,2,0,0,0,0,0,0,Milton Hill
20161105,zZz ROY Royal York Brand [UK] (S) ^KW ^RLSA-B *AD,159522754,2,0,0,0,0,0,0,The Principal York
20161105,zZz STV DV Staverton Estate Brand [UK] (S) ^KW ^RLSA-B *AD,257115887,2,0,0,0,0,0,0,De Vere Staverton Estate
20161106,CRG Cranage Hall Brand [UK] (S) ^KW ^RLSA-B *AD,160000234,2,0,0,0,0,0,0,De Vere Cranage Estate
20161106,DV Devonport House - All Visitors [UK] ^REM *NM,692789728,2,1,0.11,17,0,0,0,De Vere Devonport House
20161106,DV Latimer Estate General [UK] (S) ^KW ^RLSA-B *AD,692789743,2,1,0.38,41,0,0,0,De Vere Latimer Estate
20161106,DV Tortworth Estate General [UK] (S) ^KW *AD,685510694,2,2,3.66,295,0,0,0,De Vere Tortworth Estate
