"ORBITZ WORLDWIDE, LLC",969280,OTA,,,,
OSTERAS REISEBYRA A/S,488396,TA,,,,
OVERCOME SARL,25577554,TA,,,,
Paje Venue Solutions,4034432,TA,,,,
Perfect Places,10440051,TA,,,,
PHR,184988,TA,,,,
Planet Pursuits,3343651,TA,,,,
PLANET PURSUITS LIMITED,4810406,TA,,,,
PLUS VOYAGES SARL,3211172,TA,,,,
PORTMAN TRAVEL LIMITED,164965,TA,,,,
PORTMAN TRAVEL LIMITED,190078,TA,,,,
PRESTIGE HOTEL RESERVATIONS LTD.,191035,TA,,,,
Pro-Ven,184995,TA,,,,
QueenB,4087280,TA,,,,
Quintessentially Australia & New Zealand,18199815,TA,,,,
Racingline Events Ltd,13625669,TA,,,,
REDFERN TRAVEL LTD,5318967,TA,,,,
Redfern Travel Ltd,6171912,TA,,,,
REDFERN TRAVEL LTD,653249,TA,,,,
RedX,4139298,TA,,,,
REED & MACKAY TRAVEL LTD,1853529,TA,,,,
REED & MACKAY TRAVEL LTD,2731966,TA,,,,
REED & MACKAY TRAVEL LTD,494681,TA,,,,
Relish Events,843386,TA,,,,
Reservation Highway Ltd,170580,TA,,,,
RESERVATIONS 2000 LTD,184999,TA,,,,
REZERVATIONS LTD,1478088,TA,,,,
Roomgenie,488614,OTA,,,,
Rooms & Events,5041002,TA,,,,
Spabreaks.com,690861,OTA,,,,
Stanmore Business Travel,2974861,TA,,,,
Succinct Healthcare Communications Ltd,4507097,TA,,,,
Superbreak Mini Holidays,165878,FIT,,,,
T.D. TRAVEL LTD,613679,TA,,,,
Teeofftimes.co.uk,2382949,TA,,,,
The Conference People,184908,TA,,,,
THE TRAVEL COMPANY LTD,1275529,TA,,,,
THE TRAVEL COMPANY LTD,1359258,TA,,,,
THE TRAVEL COMPANY LTD,1567154,TA,,,,
THE TRAVEL COMPANY LTD,514742,TA,,,,
THE TRAVEL COMPANY LTD,527003,TA,,,,
THE TRAVEL COMPANY LTD,5513095,TA,,,,
The Venue Team (Kaboura),689584,TA,,,,
Thomas Cook,513732,TA,,,,
"Thomas Cook Ltd,",475708,TA,,,,
Top Banana,185015,TA,,,,
TOTAL VENUES,973314,TA,,,,
Tourico,440798,FIT,,,,
"Tourico Holiday, INC (NC)",670444,FIT,,,,
Tourwise of London Ltd,458781,TA,,,,
Tracoin Services Ltd,516261,TA,,,,
Transhotel (NC),424902,TA,,,,
Travco LLP,207304,FIT,,,,
Travel Connection Europe,453247,TA,,,,
TRAVEL MANAGEMENT GROUP PLC,2038575,TA,,,,
Travel Republic Ltd,4146901,OTA,,,,
TRAVELPLAN PARTNERS LIMITED,621144,TA,,,,
Trinity Conferences,185018,TA,,,,
TRO - Group,2345831,TA,,,,
Trust Reservations,185020,TA,,,,
UK Girl Thing,7031761,TA,,,,
UNIGLOBE ACTION TRAVEL INC.,25074815,TA,,,,
UNIGLOBE ENTERPRISE TRAVEL LTD.,2727468,TA,,,,
Vanilla Venues,719401,TA,,,,
Venue & Hotel Finders,185023,TA,,,,
Venue Choice,166905,TA,,,,
VENUE OPTIONS LTD,166910,TA,,,,
VENUE SEARCH U.K.,166915,TA,,,,
Venuefixers,2334703,TA,,,,
Venues Event Management,166809,TA,,,,
Venues Event Management,4454709,TA,,,,
Venues Wide,166815,TA,,,,
VIA EGENCIA NORWAY AS,610308,TA,,,,
VIA TRAVEL AB,498228,TA,,,,
VIA TRAVEL DENMARK A/S,2464200,TA,,,,
VIA TRAVEL DENMARK A/S,508802,TA,,,,
Via Travel Switzerland,25091301,TA,,,,
VIAGENS EL CORTE INGLES SA,5530805,TA,,,,
VIAJES EL CORTE INGLES S.A.,5510027,TA,,,,
Visit York,459034,TA,,,,
Voyager Tours & Travel,9840051,TA,,,,
Weekendesk.fr,6171838,OTA,,,,
WEXAS LTD,2274778,TA,,,,
wotif.com,2936552,OTA,,,,
WP Event Management,5334138,TA,,,,
Your Golf Travel,206764,TA,,,,
Zest Venue Solutions Ltd,1148646,TA,,,,
ZIBRANT LTD.,185533,TA,,,,
Abbey Tours,577661,FIT,,,,
Tui Deutschland GmbH,2681193,FIT,,,,
Venere.com,508934,OTA,,,,
Venere.com,508934,OTA,,,,
Venere.com,508934,OTA,,,,
STATESMAN TRAVEL LTD,1261540,TA,,,,
Statesman Travel Limited,6710267,TA,,,,
VCK TRAVEL BV,34866053,TA,,,,
INTEGRATED BUSINESS TRAVEL LTD,2547083,TA,,,,
MARINE TOURIST ENT/SES SA,927612,TA,,,,
MEETINGS AND EVENTS,5279336,TA,,,,
PLATINUM RESERVATIONS LTD.,2606911,TA,,,,
